epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2226.09,0.73807,0.49433,0.98498,0.94896,0.93346,0.96916,0.77576,0.82869,0.46547,1.02155,0.00071504,0.00071504,0.00071504
74,2256.42,0.7388,0.48734,0.97725,0.94458,0.93347,0.96968,0.7697,0.84713,0.48781,1.02549,0.00070954,0.00070954,0.00070954
75,2286.67,0.73989,0.48648,0.97536,0.93555,0.93989,0.96727,0.77072,0.85122,0.4795,1.03737,0.000704041,0.000704041,0.000704041
76,2317.25,0.73519,0.49507,0.98055,0.94886,0.91675,0.96729,0.76128,0.85628,0.49115,1.03748,0.000698541,0.000698541,0.000698541
77,2347.88,0.73134,0.48394,0.98723,0.9439,0.93369,0.9723,0.77173,0.84599,0.46583,1.02975,0.000693042,0.000693042,0.000693042
78,2378.8,0.72927,0.47968,0.97555,0.9404,0.93819,0.96874,0.77292,0.8379,0.47042,1.02246,0.000687542,0.000687542,0.000687542
79,2409.86,0.71857,0.48276,0.97073,0.94881,0.92621,0.96915,0.7774,0.84021,0.4796,1.02075,0.000682043,0.000682043,0.000682043
80,2440.82,0.72361,0.47345,0.97617,0.92701,0.93673,0.97016,0.76806,0.87062,0.46966,1.03705,0.000676543,0.000676543,0.000676543
81,2471.55,0.71192,0.46457,0.96821,0.94886,0.94662,0.97243,0.77295,0.85164,0.44792,1.02746,0.000671044,0.000671044,0.000671044
82,2502.39,0.7283,0.47748,0.97652,0.94722,0.92537,0.96589,0.77164,0.85082,0.48342,1.02852,0.000665545,0.000665545,0.000665545
83,2533.31,0.70958,0.4686,0.97473,0.94056,0.94887,0.97017,0.77656,0.83831,0.44497,1.02563,0.000660045,0.000660045,0.000660045
84,2564.24,0.706,0.46712,0.96225,0.93925,0.92914,0.97073,0.77298,0.85823,0.45806,1.0379,0.000654546,0.000654546,0.000654546
85,2595.12,0.70784,0.46543,0.96544,0.94039,0.9272,0.96937,0.77169,0.84496,0.47877,1.02177,0.000649046,0.000649046,0.000649046
86,2626.13,0.70642,0.46821,0.96259,0.94205,0.9344,0.96568,0.77143,0.85158,0.46976,1.02873,0.000643547,0.000643547,0.000643547
87,2657.1,0.70417,0.46733,0.96313,0.95607,0.93219,0.97279,0.77247,0.8496,0.46693,1.02418,0.000638047,0.000638047,0.000638047
88,2687.88,0.70664,0.46791,0.96263,0.94172,0.93681,0.96819,0.77562,0.83716,0.4683,1.01677,0.000632548,0.000632548,0.000632548
89,2718.67,0.70238,0.45676,0.96265,0.91902,0.92282,0.96181,0.76844,0.8464,0.49875,1.03162,0.000627048,0.000627048,0.000627048
90,2749.43,0.70719,0.45927,0.96528,0.94606,0.93144,0.96777,0.77197,0.83188,0.46493,1.01181,0.000621549,0.000621549,0.000621549
91,2780.01,0.69104,0.45422,0.95584,0.94032,0.94176,0.96855,0.77436,0.83297,0.4574,1.02041,0.000616049,0.000616049,0.000616049
92,2810.72,0.68968,0.44352,0.95779,0.93608,0.94776,0.9738,0.7796,0.84206,0.45432,1.02504,0.00061055,0.00061055,0.00061055
93,2841.32,0.69863,0.45408,0.96056,0.94453,0.93588,0.97284,0.7734,0.83281,0.46208,1.02101,0.000605051,0.000605051,0.000605051
